P/N,國際條碼,初始庫存,備註
ZL.W01TZ.026,8717496872296,0,
ZL.W01TZ.075,8717496873255,0,
ZL.W01TZ.02E,8717496873033,0,
ZL.W01TZ.00P,8717496872975,0,
ZL.W01TZ.012,8717496873101,0,
ZL.W01TZ.0GM,8717496873279,78,
ZL.W01TZ.0H0,8717496873118,0,
ZL.W01TZ.029,8717496872326,0,
ZL.W01TZ.001,640746635533,1,
ZL.W01TZ.002,40835250522,0,
ZL.W01TZ.003,667380785820,1,
ZL.W01TZ.004,737787153383,0,
ZL.W01TZ.015,9359668000220,0,
ZL.W01TZ.016,9359668000480,12,
ZL.W01TZ.09I,9359668000596,0,
ZL.W01TZ.0B5,9359668000800,4,
ZL.W01TZ.0AA,850041503677,10,
